borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,timestamp,latitude,longitude,location,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
,Unspecified,Unspecified,,,,,2016-07-05T20:20:00,,,,0,0,0,0,0,0,0,0,,BEDFORD AVENUE                  ,3476242,2 dr sedan,Pick-up Truck,,,,
,Following Too Closely,Unspecified,,,,FDR DRIVE,2016-07-14T11:55:00,,,,0,0,0,0,0,0,0,0,,EAST 23 STREET                  ,3480864,4 dr sedan,4 dr sedan,,,,
,Following Too Closely,Unspecified,,,,,2016-06-29T11:45:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN QUEENS EXPRESSWAY      ,3470954,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,,,,,BOSTON ROAD,2016-06-09T15:47:00,,,,0,0,0,0,1,0,1,0,,BOSTON ROAD                     ,3459187,Station Wagon/Sport Utility Vehicle,,,,,
,Other Vehicular,Following Too Closely,Following Too Closely,,,,2016-06-14T10:12:00,,,,0,0,0,0,0,0,0,0,,FDR DRIVE                       ,3462601,Taxi,Taxi,4 dr sedan,,,
,Passing Too Closely,Unspecified,,,,,2016-06-15T20:30:00,,,,0,0,0,0,0,0,0,0,,MAJOR DEEGAN EXPRESSWAY         ,3462007,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2016-06-11T04:43:00,,,,0,0,0,0,0,0,0,0,,QUEENSBORO BRIDGE LOWER         ,3461115,Bus,4 dr sedan,,,,
,Unspecified,Unspecified,,,,,2016-06-27T19:40:00,,,,0,0,1,0,0,0,1,0,,BROOKLYN QUEENS EXPRESSWAY      ,3470824,4 dr sedan,4 dr sedan,,,,
,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PELHAM PARKWAY NORTH,2016-06-11T08:00:00,,,,0,0,0,0,0,0,0,0,,WILLIAMSBRIDGE ROAD             ,3462792,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,,2016-06-23T09:30:00,,,,0,0,0,0,0,0,0,0,,CROSS BRONX EXPY                ,3479742,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unsafe Lane Changing,Unspecified,,,,BOSTON ROAD,2016-06-26T05:23:00,,,,0,0,0,0,0,0,0,0,,EAST FORDHAM ROAD               ,3468828,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,,
,Unspecified,Unspecified,Unspecified,,,,2016-06-27T20:00:00,,,,0,0,3,0,0,0,3,0,,CROSS BRONX EXPY                ,3470519,Box Truck,Van,Box Truck,,,
,Driver Inattention/Distraction,Unspecified,,,,,2016-06-24T06:40:00,,,,0,0,0,0,0,0,0,0,,LONG ISLAND EXPRESSWAY          ,3468392,Pick-up Truck,4 dr sedan,,,,
,Aggressive Driving/Road Rage,Unspecified,,,,MEEKER AVENUE,2016-05-25T11:45:00,,,,0,0,1,0,0,0,1,0,,MC GUINNESS BLVD SOUTH          ,3451171,Box Truck,Box Truck,,,,
,Unsafe Lane Changing,Unsafe Lane Changing,,,,,2016-05-15T15:48:00,,,,0,0,0,0,0,0,0,0,,RFK BRIDGE TOLL PLAZA 50' 1/F/O ,3443101,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,,
,Traffic Control Disregarded,Unspecified,,,,auburandale,2016-05-16T16:00:00,,,,0,0,0,0,0,0,0,0,,46 avenue                       ,3443552,4 dr sedan,4 dr sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2016-05-22T16:22:00,,,,0,0,0,0,0,0,0,0,196       melvin avenue                 ,,3445535,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,,
,Unsafe Lane Changing,Unsafe Lane Changing,Unspecified,,,KNAPP STREET,2016-04-13T17:00:00,,,,0,0,0,0,0,0,0,0,,GERRITSEN AVENUE                ,3414994,Station Wagon/Sport Utility Vehicle,Bus,Sedan,,,
,Following Too Closely,Unspecified,,,,,2016-04-24T14:00:00,,,,0,0,0,0,0,0,0,0,woodhaven boulevard                     ,,4022312,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,JUNCTION BOULEVARD,2016-04-08T20:40:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,3428022,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,,,,,,2016-03-28T17:00:00,,,,0,0,0,0,0,0,0,0,326       pulaski avenue                ,,3430057,Station Wagon/Sport Utility Vehicle,,,,,
,Unspecified,Unspecified,,,,UNION STREET,2016-03-20T15:00:00,,,,0,0,1,0,0,0,1,0,,HICKS STREET                    ,3419222,4 dr sedan,4 dr sedan,,,,
,Alcohol Involvement,,,,,BROADWAY,2016-04-07T07:45:00,,,,0,0,0,0,1,0,1,0,,WEST 177 STREET                 ,3410611,4 dr sedan,,,,,
,View Obstructed/Limited,Unspecified,,,,CLARENDON ROAD,2016-03-23T10:03:00,,,,0,0,0,0,0,0,0,0,,,3416351,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,,
,Unspecified,,,,,BAILEY AVENUE,2016-03-13T13:00:00,,,,0,0,0,0,0,0,0,0,,,3414132,4 dr sedan,,,,,
,Driver Inattention/Distraction,,,,,HAMILTON AVENUE                 ,2016-03-04T07:00:00,,,,0,0,0,0,1,0,1,0,,COURT STREET                    ,3399503,PASSENGER VEHICLE,,,,,
,Physical Disability,Unspecified,,,,HORACE HARDING EXPRESSWAY       ,2016-03-07T14:50:00,,,,0,0,0,0,0,0,0,0,,188 STREET                      ,3401237,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,HUNTINGTON STREET               ,2016-03-02T10:44:00,,,,0,0,1,0,0,0,1,0,,HAMILTON AVENUE                 ,3398862,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,,2016-03-05T16:00:00,,,,0,0,0,0,0,0,0,0,,,3400464,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,Unspecified,,,,2016-02-17T11:10:00,,,,0,0,0,0,0,0,0,0,PL OF POST AVENUE AND SIMONSON         ,,3391029,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Failure to Yield Right-of-Way,Unspecified,,,,NORTHERN BOULEVARD              ,2016-02-21T14:30:00,,,,0,0,0,0,0,0,0,0,,48 STREET                       ,3393143,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,UNION TURNPIKE                  ,2016-02-28T22:00:00,,,,0,0,1,0,0,0,1,0,,WOODHAVEN BOULEVARD             ,3397579,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,Unspecified,Unspecified,,,2016-02-12T23:50:00,,,,0,0,2,0,0,0,2,0,,,3388219,SPORT UTILITY / STATION WAGON,TAXI,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
,Prescription Medication,Unspecified,,,,WHITESTONE EXPRESSWAY E SVC RD  ,2016-02-02T13:50:00,,,,0,0,0,0,0,0,0,0,,14 AVENUE                       ,3383121,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),,,,
,Fatigued/Drowsy,Unspecified,,,,HYLAN BOULEVARD                 ,2016-02-02T20:40:00,,,,0,0,0,0,0,0,0,0,,CLOVE ROAD                      ,3383241,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,MEEKER AVENUE                   ,2016-02-09T12:30:00,,,,0,0,1,0,0,0,1,0,,METROPOLITAN AVENUE             ,3386360,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Traffic Control Disregarded,Unspecified,,,,,2016-01-17T21:20:00,,,,0,0,0,0,0,0,0,0,PARKING LOT BELL BL & 24 AVE            ,,3373685,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Tire Failure/Inadequate,Unspecified,,,,SHERMAN AVENUE                  ,2015-12-31T02:00:00,,,,0,0,0,0,0,0,0,0,,BROADWAY                        ,3362901,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2015-12-29T13:00:00,,,,0,0,0,0,0,0,0,0,ROOSEVELT ISLAND                        ,,3362223,VAN,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,Unspecified,,,NORTH GANNON AVENUE             ,2016-01-06T15:40:00,,,,0,0,1,0,0,0,1,0,,BRADLEY AVENUE                  ,3366933,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Failure to Yield Right-of-Way,Unspecified,,,,MEEKER AVENUE                   ,2016-01-12T10:50:00,,,,0,0,0,0,0,0,0,0,,FROST STREET                    ,3370228,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,GRAND ARMY PLAZA                ,2016-01-15T19:00:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,3371914,PASSENGER VEHICLE,VAN,,,,
,Unspecified,Unspecified,,,,BROADWAY                        ,2016-01-02T17:40:00,,,,0,0,0,0,0,0,0,0,,WEST 225 STREET                 ,3364168,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,,2016-01-12T12:25:00,,,,0,0,0,0,0,0,0,0,PARKING LOT-772 EDGEWATER RD            ,,3369218,SPORT UTILITY / STATION WAGON,UNKNOWN,,,,
,Other Vehicular,,,,,UNIVERSITY AVENUE               ,2015-12-23T13:45:00,,,,0,0,0,0,1,0,1,0,,WEST BURNSIDE AVENUE            ,3358688,PASSENGER VEHICLE,,,,,
,Unspecified,,,,,HUTCHINSON RIVER PARKWAY        ,2015-12-18T03:15:00,,,,0,0,0,0,0,0,0,0,,SHORE ROAD                      ,3355433,SPORT UTILITY / STATION WAGON,,,,,
,Unspecified,Unspecified,,,,,2015-10-21T14:27:00,,,,0,0,0,0,0,0,0,0,,,3319504,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,BRUCKNER BOULEVARD              ,2015-12-06T14:03:00,,,,0,0,0,0,0,0,0,0,,WHITE PLAINS ROAD               ,3347736,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,Unspecified,,,,2015-12-04T08:45:00,,,,0,0,0,0,0,0,0,0,,,3346514,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
,Unspecified,,,,,LONG ISLAND EXPRESSWAY          ,2015-12-07T08:20:00,,,,0,0,0,0,0,0,0,0,,BELL BOULEVARD                  ,3348667,PASSENGER VEHICLE,BUS,,,,
,Unspecified,Unspecified,Unspecified,,,,2015-12-12T15:40:00,,,,0,0,0,0,0,0,0,0,FLATBUSH AVENUE/BELT PARKWAY            ,,3352087,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
,Fatigued/Drowsy,Unspecified,,,,COLLEGE AVENUE                  ,2015-12-02T19:00:00,,,,0,0,0,0,0,0,0,0,,WILLOWBROOK ROAD                ,3346386,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2015-11-30T09:40:00,,,,0,0,0,0,0,0,0,0,,,3344641,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,
,Unspecified,Unspecified,,,,GRAND CENTRAL PARKWAY           ,2015-11-17T08:30:00,,,,0,0,0,0,0,0,0,0,,94 STREET                       ,3336501,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Other Electronic Device,Outside Car Distraction,Unspecified,,,SHARROTTS ROAD                  ,2015-11-09T09:15:00,,,,0,0,2,0,0,0,2,0,,ARTHUR KILL ROAD                ,3332187,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,,2015-11-15T15:00:00,,,,0,0,0,0,0,0,0,0,,,3334928,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Physical Disability,,,,,COOPER SQUARE                   ,2015-11-18T09:40:00,,,,0,0,0,0,1,0,1,0,,EAST 7 STREET                   ,3337197,TAXI,,,,,
,Fatigued/Drowsy,Unspecified,,,,,2015-11-11T09:52:00,,,,0,0,0,0,0,0,0,0,,,3333153,PASSENGER VEHICLE,OTHER,,,,
,Physical Disability,Unspecified,,,,UNION TURNPIKE                  ,2015-10-17T01:23:00,,,,0,0,1,1,0,0,1,1,,WOODHAVEN BOULEVARD             ,3317127,MOTORCYCLE,PASSENGER VEHICLE,,,,
,Backing Unsafely,,,,,,2015-10-27T14:20:00,,,,0,0,0,0,0,0,0,0,MT EDEN AVENUE GRAND CONCOURSE          ,,3325408,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,BROADWAY                        ,2015-10-12T11:50:00,,,,0,0,0,0,0,0,0,0,,VERNON BOULEVARD                ,3314622,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,UNION TURNPIKE                  ,2015-10-26T06:45:00,,,,0,0,0,0,0,0,0,0,,WOODHAVEN BOULEVARD             ,3323449,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Obstruction/Debris,,,,,,2015-10-28T05:00:00,,,,0,0,1,0,0,0,1,0,,,3323862,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,SUMNER AVENUE                   ,2015-10-26T16:56:00,,,,0,0,0,0,0,0,0,0,,RICHMOND AVENUE                 ,3323638,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,WEST 230 STREET                 ,2015-10-16T20:10:00,,,,0,0,0,0,0,0,0,0,,BROADWAY                        ,3319525,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Pavement Slippery,Unspecified,,,,,2015-10-28T13:00:00,,,,0,0,1,0,0,0,1,0,,,3324378,PICK-UP TRUCK,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Fatigued/Drowsy,,,,,2015-10-27T20:25:00,,,,0,0,0,0,0,0,0,0,,,3323845,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,OLD SLIP                        ,2015-09-11T10:53:00,,,,0,0,0,0,0,0,0,0,,WATER STREET                    ,3294931,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,View Obstructed/Limited,,,,,2015-09-19T15:35:00,,,,0,0,0,0,0,0,0,0,,,3300881,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Oversized Vehicle,Unspecified,,,,QUEENS PLAZA NORTH              ,2015-09-08T09:10:00,,,,0,0,0,0,0,0,0,0,,NORTHERN BOULEVARD              ,3292610,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,
,Turning Improperly,Unspecified,,,,,2015-09-16T18:30:00,,,,0,0,0,0,0,0,0,0,,,3298554,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Backing Unsafely,Unspecified,,,,,2015-09-20T11:22:00,,,,0,0,0,0,0,0,0,0,PARKING LOT OF 138-45 QUEENS BLVD       ,,3301150,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,GCP                             ,2015-09-14T12:00:00,,,,0,0,0,0,0,0,0,0,,94 STREET                       ,3296605,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,Unspecified,,,,SHELL BANK CREEK                ,2015-08-21T14:14:00,,,,0,0,0,0,0,0,0,0,,GOTHAM AVENUE                   ,3281683,PICK-UP TRUCK,OTHER,,,,
,Unspecified,Unspecified,,,,MORROW STREET                   ,2015-08-19T19:10:00,,,,0,0,0,0,0,0,0,0,,FOREST AVENUE                   ,3281447,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2015-08-18T11:45:00,,,,0,0,1,0,0,0,1,0,2655 RICHMOND AVENUE(PARKING LOT)       ,,3280167,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Glare,,,,,,2015-08-15T11:50:00,,,,0,0,0,0,0,0,0,0,MEADOW LAKE PROMENADE                   ,,3278262,SPORT UTILITY / STATION WAGON,,,,,
,Fatigued/Drowsy,Unspecified,,,,,2015-08-15T21:30:00,,,,0,0,0,0,0,0,0,0,,,3281029,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,37 AVENUE                       ,2015-08-21T22:40:00,,,,0,0,0,0,0,0,0,0,,72 STREET                       ,3282607,UNKNOWN,UNKNOWN,,,,
,Alcohol Involvement,Unspecified,Unspecified,,,133 STREET                      ,2015-08-26T21:25:00,,,,0,0,1,0,0,0,1,0,,LIBERTY AVENUE                  ,3284896,PASSENGER VEHICLE,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
,Unspecified,Unspecified,,,,AVENUE U                        ,2015-07-28T13:30:00,,,,0,0,0,0,0,0,0,0,,GERRITSEN AVENUE                ,3267059,PASSENGER VEHICLE,UNKNOWN,,,,
,Backing Unsafely,Unspecified,Unspecified,,,,2015-07-15T16:30:00,,,,0,0,0,0,0,0,0,0,,,3259533,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
,Driver Inattention/Distraction,,,,,,2015-07-15T10:58:00,,,,0,0,1,0,0,0,1,0,FLUSHING MEADOW PARK                    ,,3259614,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,TRAVIS AVENUE                   ,2015-06-22T00:05:00,,,,0,0,0,0,0,0,0,0,,VICTORY BOULEVARD               ,3244611,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,,2015-06-26T16:47:00,,,,0,0,0,0,0,0,0,0,,,3247023,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Reaction to Other Uninvolved Vehicle,Unspecified,,,,VANWYCK EXPRESSWAY              ,2015-07-08T11:35:00,,,,0,0,0,0,0,0,0,0,,HILLSIDE AVENUE                 ,3254519,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,BORDEN AVENUE                   ,2015-06-19T18:30:00,,,,0,0,0,0,0,0,0,0,,35 STREET                       ,3242586,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,BRONX RIVER AVENUE              ,2015-06-22T17:04:00,,,,0,0,0,0,0,0,0,0,,BRUCKNER BOULEVARD              ,3244858,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,
,Prescription Medication,Unspecified,,,,SAND STREET                     ,2015-07-06T18:40:00,,,,0,0,0,0,0,0,0,0,,JAY STREET                      ,3253025,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,FLUSHING AVENUE                 ,2015-06-30T15:15:00,,,,0,0,0,0,0,0,0,0,,METRO AVENUE                    ,3251201,PICK-UP TRUCK,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,CANAL STREET                    ,2015-06-22T21:00:00,,,,0,0,0,0,0,0,0,0,,HUDSON STREET                   ,3243960,OTHER,TAXI,,,,
,Unspecified,Unspecified,,,,RHINELANDER AVENUE              ,2015-06-07T14:35:00,,,,0,0,0,0,0,0,0,0,,HUNT AVENUE                     ,3235283,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,BRUCKNER BOULEVARD              ,2015-06-06T15:20:00,,,,0,0,0,0,0,0,0,0,,EAST TREMONT AVENUE             ,3235267,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,4 AVENUE                        ,2015-06-08T10:00:00,,,,0,0,0,0,0,0,0,0,,97 STREET                       ,3236020,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,Unspecified,,,,WESTCHESTER AVENUE              ,2015-05-26T08:58:00,,,,1,0,0,0,0,0,1,0,,WATERS PLACE                    ,3227513,PASSENGER VEHICLE,BICYCLE,,,,
,Unspecified,Unspecified,,,,RICHMOND AVENUE                 ,2015-06-12T08:41:00,,,,0,0,0,0,0,0,0,0,,INDEPENDENCE AVENUE             ,3245541,SMALL COM VEH(4 TIRES) ,SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Unspecified,,,,COLLEGE POINT BOULEVARD         ,2015-06-11T14:01:00,,,,0,0,0,0,0,0,0,0,,BOOTH MEMORIAL AVENUE           ,3238330,SMALL COM VEH(4 TIRES) ,SMALL COM VEH(4 TIRES) ,,,,
,Fatigued/Drowsy,Unspecified,,,,,2015-06-08T09:40:00,,,,0,0,0,0,0,0,0,0,,,3236527,TAXI,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2015-05-24T14:55:00,,,,0,0,0,0,0,0,0,0,,,3226757,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,QUEENS PLAZA SOUTH              ,2015-04-28T11:05:00,,,,0,0,0,0,0,0,0,0,,JACKSON AVENUE                  ,3211437,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,TYSENS LANE                     ,2015-04-26T19:00:00,,,,0,0,0,0,0,0,0,0,,HYLAN BOULEVARD                 ,3210339,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,MEEKER AVENUE                   ,2015-05-17T23:40:00,,,,0,0,0,0,0,0,0,0,,LORIMER STREET                  ,3223151,MOTORCYCLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2015-05-09T21:40:00,,,,0,0,0,0,0,0,0,0,,,3220413,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Passenger Distraction,Passenger Distraction,,,,WEST 182 STREET                 ,2015-05-09T15:10:00,,,,1,0,0,0,0,0,1,0,,AMSTERDAM AVENUE                ,3217732,PASSENGER VEHICLE,BICYCLE,,,,
,Prescription Medication,Unspecified,,,,VAN WYCK EXPRESSWAY             ,2015-04-29T16:33:00,,,,0,0,0,0,0,0,0,0,,JAMAICA AVENUE                  ,3211357,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,NAVY STREET                     ,2015-04-29T13:30:00,,,,0,0,0,0,0,0,0,0,,PARK AVENUE                     ,3212030,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Traffic Control Disregarded,,,,,,2015-05-02T01:00:00,,,,0,0,2,0,0,0,2,0,,,3212960,PASSENGER VEHICLE,,,,,
,Turning Improperly,Unspecified,,,,CANAL STREET                    ,2015-05-09T18:26:00,,,,0,0,0,0,0,0,0,0,,WEST STREET                     ,3217095,TAXI,SPORT UTILITY / STATION WAGON,,,,
,Other Vehicular,Fatigued/Drowsy,,,,,2015-05-05T09:45:00,,,,0,0,0,0,0,0,0,0,,,3215417,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,EAST FORDHAM ROAD               ,2015-04-20T17:00:00,,,,0,0,0,0,0,0,0,0,,BATHGATE AVENUE                 ,3205802,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,Unspecified,,,WHITE PLAINS ROAD               ,2015-02-25T16:25:00,,,,0,0,0,0,0,0,0,0,,EAST 234 STREET                 ,3175329,OTHER,UNKNOWN,PASSENGER VEHICLE,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,31 STREET                       ,2015-02-25T18:30:00,,,,0,0,0,0,0,0,0,0,,DITMARS BOULEVARD               ,3176260,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Pavement Slippery,Unspecified,,,,,2015-03-21T07:40:00,,,,0,0,1,0,0,0,1,0,,,3190412,PASSENGER VEHICLE,LIVERY VEHICLE,,,,
,Unspecified,Unspecified,,,,69 ROAD                         ,2015-03-11T14:30:00,,,,0,0,0,0,0,0,0,0,,QUEENS BOULEVARD                ,3184625,PASSENGER VEHICLE,PICK-UP TRUCK,,,,
,Backing Unsafely,Unspecified,,,,40 ROAD                         ,2015-02-26T12:55:00,,,,0,0,0,0,0,0,0,0,,COLLEGE POINT BOULEVARD         ,3176210,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,ASTORIA BOULEVARD               ,2015-03-09T09:57:00,,,,0,0,0,0,0,0,0,0,,42 STREET                       ,3183433,VAN,PASSENGER VEHICLE,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,WILSON STREET                   ,2015-02-26T21:20:00,,,,0,0,0,0,0,0,0,0,,OLD TOWN ROAD                   ,3176303,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Lane Marking Improper/Inadequate,Lane Marking Improper/Inadequate,,,,,2015-02-24T14:45:00,,,,0,0,0,0,0,0,0,0,,,3175353,OTHER,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,LITTLE LEAGUE PLACE             ,2015-02-27T09:15:00,,,,0,0,0,0,0,0,0,0,,WESTCHESTER AVENUE              ,3176516,PASSENGER VEHICLE,UNKNOWN,,,,
,Driver Inattention/Distraction,Fatigued/Drowsy,,,,,2015-02-13T14:48:00,,,,0,0,1,0,0,0,1,0,,,3169247,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Failure to Yield Right-of-Way,Pavement Slippery,,,,23 AVENUE                       ,2015-02-09T12:30:00,,,,0,0,0,0,0,0,0,0,,215 STREET                      ,3167907,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,CROSS ISLAND PARKWAY            ,2015-01-31T20:45:00,,,,0,0,0,0,0,0,0,0,,HEMPSTEAD AVENUE                ,3162098,SPORT UTILITY / STATION WAGON,VAN,,,,
,Brakes Defective,Unspecified,,,,DITMAS AVENUE                   ,2015-02-16T08:30:00,,,,0,0,0,0,0,0,0,0,,RALPH AVENUE                    ,3170314,SPORT UTILITY / STATION WAGON,OTHER,,,,
,Pavement Slippery,,,,,,2015-02-02T05:45:00,,,,0,0,2,0,0,0,2,0,,,3162455,PASSENGER VEHICLE,,,,,
,Backing Unsafely,Unspecified,,,,,2015-02-19T10:55:00,,,,0,0,0,0,0,0,0,0,PARKING LOT NORTHERN BL&156 ST (HMART)  ,,3172262,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Other Vehicular,Driver Inattention/Distraction,,,,,2015-01-20T10:30:00,,,,0,0,0,0,0,0,0,0,,,3156094,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Pavement Slippery,Unspecified,,,,,2015-01-12T07:40:00,,,,0,0,0,0,0,0,0,0,,,3151555,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
